Short name,Project/Question,Cause,Sub-cause,years distribution,years FTE - low,years FTE - high,years FTE lclip,years FTE rclip,years FTE credibility,concl updating distribution,conclusions that require updating - low,conclusions that require updating - high,conclusions lclip,conclusions rclip,conclusions credibility,target_updating distribution,target_updating - low,target_updating - high,target_updating lclip,target_updating rclip,target_updating credibility,influenceable distribution,$M influenceable per year low,$M influenceable per year high,influenceable lclip,influenceable rclip,influenceable credibility,percent money influenceable - distribution,percent money influenceable - low,percent money influenceable - high,percent influenceable lclip,percent influenceable rclip,percent influenceable credibility,percent change on money - distribution,percent change on money - low,percent change on money - high,percent_change_on_money lclip,percent_change_on_money rclip,percent change on money credibility,years counterfactual credit - distribution,years counterfactual credit - low,years counterfactual credit - high,counterfactual lclip,counterfactual rclip,counterfactual credibility
CfW adjusted life-years,"Can capacity for welfare estimates be adapted to generate a species-adjusted life-year metric? If so, how should that be done?",Welfare Theory,Animal Welfare,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Empirical Pascal's mugging,"Search finance/economics literature for solutions for dealing with high expected value, small probabilities.",Decision Theory,Grant-making,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
WAW net-negativity research agenda,How to solve WAW net-negativity,Animal welfare,NA,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
SWB lit review,What do we think about the SWB literature?,Welfare Measurement,GHD,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Dead point/WTD surveys,Dead point/WTD surveys,Welfare Measurement,GHD,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
WELBY,The WELBY,Welfare Measurement,GHD,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Animal effects of econ growth,"What are the net effects on animals given economic growth changes the number of people, and the types of animal products and plant based products, changes over time and the welfare of those animals are different in different systems",Animal welfare,GHD,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
VOI of WVI,What's the Value of Information on WVI?,Strategy,Diversification,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Indirect effects,"Should we distinguish between direct and indirect effects? If so, how?",Externalities,Normativity,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
GW moral weights,GiveWell moral weights,GHD,,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Animal incorporation into public policy CEAs,Various issues in cost-effectiveness and cost-benefit analysis,Animal welfare,Decision Theory,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Practical moral uncertainty framework,How to incorporate moral uncertainty into decision-making,Moral Uncertainty,Strategy,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Genetic modification to improve future,Should we use genetic modification to impact the future (eg by reducing suffering)?,Animal welfare,Longtermism,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Hinge of history outside longtermism,Does the hinge of history debate have implications outside longtermism?,Cause Evaluation,Longtermism,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Government spending value,What is the value of government (especially LMIC government) spending,Economics,GHD,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Econ growth change in trajectory?,Does promoting growth in LMICs just pull consumption forward (due to convergence) or does it pull the country on a new growth trajectory?,Economics,GHD,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Econ growth on far future,The effects of economic growth on x-risks and the far future generally,Economics,Longtermism,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Econ growth v randomnista development,Economic growth v randomnista development,GHD,,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
Generic GHD project for OP,Generic GHD project for OP,GHD,,,,,0.019230769230769232,,,,,,0,1,,,,,0,1,,,,,,,,,,,0,1,,,,,,,,,,,0,,
