year,ai,nukes,unknown,nano,natural,bio,total
2023,0.01115,5.00E-05,0,0,0,0,0.0112
2024,0.00086,4.00E-05,0,0,0,1.00E-05,0.00091
2025,0.00177,4.00E-05,0,0,0,1.00E-05,0.00182
2026,0.00839,1.00E-04,0,0,0,0,0.00849
2027,0.01686,8.00E-05,0,0,0,0,0.01694
2028,0.02134,8.00E-05,1.00E-05,0,0,0,0.02143
2029,0.0195,3.00E-05,2.00E-05,1.00E-05,0,0,0.01956
2030,0.01491,8.00E-05,0,0,0,0,0.01499
2031,0.0119,7.00E-05,0,0,0,1.00E-05,0.01198
2032,0.00946,0.00018,0,0,0,2.00E-05,0.00966
2033,0.00791,0.00016,1.00E-05,0,0,1.00E-05,0.00809
2034,0.00633,0.00013,0,0,0,0,0.00646
2035,0.00628,0.00013,0,0,0,1.00E-05,0.00642
2036,0.00557,0.00014,1.00E-05,0,0,0,0.00572
2037,0.00546,5.00E-05,0,0,0,2.00E-05,0.00553
2038,0.00471,5.00E-05,0,0,0,0,0.00476
2039,0.00413,7.00E-05,0,0,0,0,0.0042
2040,0.00394,6.00E-05,0,0,0,0,0.004
2041,0.00367,6.00E-05,0,0,0,0,0.00373
2042,0.00341,6.00E-05,0,1.00E-05,0,0,0.00348
2043,0.00322,3.00E-05,1.00E-05,0,0,0,0.00326
2044,0.0035,9.00E-05,0,1.00E-05,0,0,0.0036
2045,0.00304,2.00E-05,1.00E-05,0,0,0,0.00307
2046,0.00292,2.00E-05,0,0,0,0,0.00294
2047,0.00283,6.00E-05,1.00E-05,1.00E-05,0,0,0.00291
2048,0.00277,2.00E-05,0,0,0,1.00E-05,0.0028
2049,0.00284,1.00E-05,0,0,0,1.00E-05,0.00286
2050,0.00298,2.00E-05,1.00E-05,0,0,0,0.00301
2051,0.00256,5.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0.00264
2052,0.00274,4.00E-05,4.00E-05,0,0,0,0.00282
2053,0.00272,0,0,0,0,0,0.00272
2054,0.00277,1.00E-05,1.00E-05,0,0,0,0.00279
2055,0.00251,5.00E-05,0,0,0,0,0.00256
2056,0.00233,0,1.00E-05,0,0,0,0.00234
2057,0.00191,0,2.00E-05,1.00E-05,0,0,0.00194
2058,0.00205,3.00E-05,0,0,0,0,0.00208
2059,0.00189,0,2.00E-05,0,0,0,0.00191
2060,0.00175,1.00E-05,2.00E-05,0,0,0,0.00178
2061,0.00183,0,1.00E-05,0,0,1.00E-05,0.00185
2062,0.00155,4.00E-05,1.00E-05,0,0,0,0.0016
2063,0.00141,0,0,1.00E-05,0,0,0.00142
2064,0.00153,3.00E-05,0,1.00E-05,0,1.00E-05,0.00158
2065,0.00138,1.00E-05,0,0,0,0,0.00139
2066,0.00112,3.00E-05,0,0,0,2.00E-05,0.00117
2067,0.00117,2.00E-05,1.00E-05,0,0,0,0.0012
2068,0.00097,1.00E-05,0,1.00E-05,0,1.00E-05,0.001
2069,0.00107,1.00E-05,1.00E-05,2.00E-05,0,0,0.00111
2070,0.001,4.00E-05,0,0,0,1.00E-05,0.00105
2071,0.00072,1.00E-05,2.00E-05,0,0,0,0.00075
2072,0.0009,2.00E-05,0,0,0,0,0.00092
2073,0.0009,0,1.00E-05,1.00E-05,0,0,0.00092
2074,0.00057,3.00E-05,0,0,0,1.00E-05,0.00061
2075,0.00064,3.00E-05,0,0,0,0,0.00067
2076,0.00058,0,2.00E-05,0,0,0,0.0006
2077,0.00059,1.00E-05,1.00E-05,0,0,0,0.00061
2078,0.00051,1.00E-05,1.00E-05,2.00E-05,0,0,0.00055
2079,0.00066,2.00E-05,2.00E-05,0,0,0,0.0007
2080,0.00045,0,0,1.00E-05,0,0,0.00046
2081,0.0005,0,0,0,0,0,0.0005
2082,0.00032,1.00E-05,0,0,0,0,0.00033
2083,0.00037,1.00E-05,0,0,0,1.00E-05,0.00039
2084,0.00045,2.00E-05,0,0,0,0,0.00047
2085,0.00031,1.00E-05,2.00E-05,1.00E-05,0,0,0.00035
2086,0.00028,1.00E-05,0,0,0,0,0.00029
2087,0.00031,2.00E-05,0,0,0,0,0.00033
2088,0.0003,2.00E-05,1.00E-05,0,0,1.00E-05,0.00034
2089,0.00031,2.00E-05,2.00E-05,0,0,1.00E-05,0.00036
2090,0.0003,0,1.00E-05,0,0,0,0.00031
2091,0.00017,2.00E-05,1.00E-05,0,0,0,0.0002
2092,0.0002,1.00E-05,0,0,0,0,0.00021
2093,0.00022,3.00E-05,0,0,0,0,0.00025
2094,0.00018,0,0,0,0,0,0.00018
2095,0.00011,0,2.00E-05,1.00E-05,0,0,0.00014
2096,0.00021,2.00E-05,0,0,0,0,0.00023
2097,0.00029,1.00E-05,0,0,0,0,0.0003
2098,0.00014,1.00E-05,1.00E-05,0,0,0,0.00016
2099,0.00012,1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,0.00017
2100,0.00013,2.00E-05,1.00E-05,0,0,0,0.00016
2101,0.00015,2.00E-05,0,0,0,0,0.00017
2102,0.00014,4.00E-05,1.00E-05,3.00E-05,0,0,0.00022
2103,0.00019,1.00E-05,0,1.00E-05,0,0,0.00021
2104,0.0002,0,1.00E-05,2.00E-05,0,0,0.00023
2105,0.00023,1.00E-05,1.00E-05,1.00E-05,0,0,0.00026
2106,0.00013,0,0,0,0,0,0.00013
2107,0.0002,1.00E-05,0,1.00E-05,0,0,0.00022
2108,0.00018,1.00E-05,1.00E-05,1.00E-05,0,0,0.00021
2109,0.00016,0,3.00E-05,1.00E-05,0,0,0.0002
2110,0.00013,1.00E-05,0,0,0,0,0.00014
2111,0.00018,1.00E-05,2.00E-05,1.00E-05,0,0,0.00022
2112,9.00E-05,1.00E-05,0,2.00E-05,0,1.00E-05,0.00013
2113,0.00015,3.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0.00021
2114,7.00E-05,2.00E-05,0,1.00E-05,0,0,0.0001
2115,1.00E-04,4.00E-05,4.00E-05,1.00E-05,0,1.00E-05,0.0002
2116,0.00015,0,1.00E-05,1.00E-05,0,0,0.00017
2117,0.00018,4.00E-05,2.00E-05,1.00E-05,0,0,0.00025
2118,0.0001,3.00E-05,1.00E-05,2.00E-05,0,0,0.00016
2119,7.00E-05,1.00E-05,1.00E-05,0,0,0,9.00E-05
2120,0.00013,0,0,1.00E-05,0,0,0.00014
2121,7.00E-05,0,0,1.00E-05,0,0,8.00E-05
